Aix galericulata
Alopochen aegyptiacus
Anas acuta
Anas americana 
Anas carolinensis 
Anas clypeata
Anas crecca
Anas discors 
Anas formosa  
Anas penelope
Anas platyrhynchos
Anas querquedula 
Anas rubripes 
Anas strepera
Anser albifrons
Anser anser
Anser brachyrhynchus
Anser caerulescens
Anser erythropus
Anser fabalis
Aythya affinis 
Aythya americana
Aythya collaris 
Aythya ferina
Aythya fuligula
Aythya marila
Aythya nyroca 
Aythya valisineria
Branta bernicla
Branta canadensis 
Branta leucopsis
Branta ruficollis 
Bucephala albeola
Bucephala clangula
Bucephala islandica
Clangula hyemalis
Cygnus columbianus 
Cygnus cygnus
Cygnus olor
Histrionicus histrionicus 
Lophodytes cucullatus  
Melanitta americana 
Melanitta fusca
Melanitta nigra
Melanitta perspicillata 
Mergellus albellus 
Mergus merganser
Mergus serrator
Netta rufina  
Oxyura jamaicensis
Polysticta stelleri
Somateria mollissima
Somateria spectabilis 
Tadorna ferruginea 
Tadorna tadorna
Apus affinis
Apus apus 
Apus melba 
Apus pacificus 
Apus pallidus
Chaetura pelagica 
Hirundapus caudacutus 
Alca torda
Alle alle 
Brachyramphus perdix 
Cepphus grylle
Fratercula arctica
Pinguinus impennis 
Synthliboramphus antiquus 
Uria aalge 
Uria lomvia 
Burhinus oedicnemus 
Charadrius alexandrinus 
Charadrius asiaticus 
Charadrius dubius
Charadrius hiaticula 
Charadrius leschenaultii 
Charadrius mongolus 
Charadrius morinellus 
Charadrius semipalmatus 
Charadrius vociferus 
Haematopus ostralegus 
Pluvialis apricaria 
Pluvialis dominica 
Pluvialis fulva 
Pluvialis squatarola 
Vanellus gregarius 
Vanellus leucurus 
Vanellus vanellus
Cursorius cursor 
Glareola maldivarum 
Glareola nordmanni 
Glareola pratincola 
Haematopus ostralegus 
Chroicocephalus genei  
Chroicocephalus philadelphia  
Chroicocephalus ridibundus  
Hydrocoloeus minutus 
Larus argentatus 
Larus atricilla 
Larus audouinii 
Larus cachinnans 
Larus canus 
Larus delawarensis 
Larus fuscus 
Larus genei 
Larus glaucescens
Larus glaucoides 
Larus hyperboreus 
Larus ichthyaetus 
Larus marinus 
Larus melanocephalus 
Larus michahellis 
Larus minutus 
Larus philadelphia 
Larus pipixcan 
Larus ridibundus 
Larus sabini 
Larus smithsonianus
Pagophila eburnea 
Rhodostethia rosea  
Rissa tridactyla
Phalaropus fulicarius
Phalaropus lobatus 
Phalaropus tricolor
Syrrhaptes paradoxus 
Himantopus himantopus   
Recurvirostra avosetta 
Actitis hypoleucos 
Actitis macularius 
Arenaria interpres 
Bartramia longicauda
Calidris acuminata 
Calidris alba 
Calidris alpina 
Calidris bairdii 
Calidris canutus 
Calidris ferruginea 
Calidris fuscicollis 
Calidris himantopus 
Calidris maritima
Calidris mauri 
Calidris melanotos 
Calidris minuta
Calidris minutilla 
Calidris pusilla 
Calidris ruficollis 
Calidris subminuta 
Calidris temminckii 
Calidris tenuirostris 
Gallinago delicata   
Gallinago gallinago 
Gallinago media 
Heteroscelus brevipes 
Limicola falcinellus 
Limnodromus griseus 
Limnodromus scolopaceus 
Limosa haemastica
Limosa lapponica 
Limosa limosa
Lymnocryptes minimus 
Numenius arquata 
Numenius borealis 
Numenius hudsonicus   
Numenius minutus 
Numenius phaeopus 
Numenius tenuirostris
Phalaropus fulicarius 
Phalaropus lobatus  
Phalaropus tricolor  
Philomachus pugnax 
Scolopax rusticola
Tringa brevipes  
Tringa erythropus 
Tringa flavipes 
Tringa glareola 
Tringa melanoleuca
Tringa nebularia
Tringa ochropus
Tringa solitaria 
Tringa stagnatilis
Tringa totanus
Tryngites subruficollis 
Xenus cinereus
Stercorarius longicaudus 
Stercorarius parasiticus 
Stercorarius pomarinus 
Stercorarius skua 
Chlidonias hybrida 
Chlidonias leucopterus
Chlidonias niger  
Gelochelidon nilotica  
Hydroprogne caspia   
Onychoprion aleuticus 
Onychoprion anaethetus  
Onychoprion fuscatus 
Sterna bengalensis 
Sterna dougallii 
Sterna elegans  
Sterna forsteri 
Sterna hirundo 
Sterna maxima 
Sterna paradisaea 
Sterna sandvicensis
Sternula albifrons
Ardea alba 
Ardea cinerea 
Ardea herodias 
Ardea purpurea
Ardeola ralloides 
Botaurus lentiginosus 
Botaurus stellaris  
Bubulcus ibis
Butorides virescens
Egretta garzetta  
Egretta thula 
Ixobrychus minutus 
Nycticorax nycticorax 
Ciconia ciconia
Ciconia nigra
Platalea leucorodia
Plegadis falcinellus 
Columba livia 
Columba oenas 
Columba palumbus 
Streptopelia decaocto 
Streptopelia orientalis 
Streptopelia turtur
Zenaida macroura 
Psittacula krameri 
Alcedo atthis 
Megaceryle alcyon 
Merops persicus
Ceryle alcyon 
Coracias garrulus 
Merops apiaster
Merops persicus 
Clamator glandarius
Coccyzus americanus
Coccyzus erythrophthalmus 
Cuculus canorus 
Accipiter gentilis 
Accipiter nisus 
Aquila chrysaetos 
Aquila clanga 
Buteo buteo 
Buteo buteo
Buteo lagopus 
Circaetus gallicus 
Circus aeruginosus 
Circus cyaneus 
Circus macrourus 
Circus pygargus 
Haliaeetus albicilla 
Milvus migrans 
Milvus milvus 
Neophron percnopterus 
Pandion haliaetus 
Pernis apivorus 
Falco columbarius 
Falco eleonorae 
Falco naumanni 
Falco peregrinus 
Falco rusticolus 
Falco sparverius 
Falco subbuteo 
Falco tinnunculus
Falco vespertinus
Alectoris rufa 
Chrysolophus amherstiae 
Chrysolophus pictus
Coturnix coturnix 
Lagopus lagopus 
Lagopus muta 
Perdix perdix 
Phasianus colchicus 
Tetrao tetrix 
Tetrao urogallus 
Gavia adamsii 
Gavia arctica 
Gavia immer 
Gavia pacifica  
Gavia stellata
Grus canadensis
Grus grus 
Chlamydotis macqueenii 
Otis tarda 
Tetrax tetrax 
Crex crex   
Fulica americana  
Fulica atra 
Gallinula chloropus  
Porphyrula alleni  
Porphyrula martinicus 
Porzana carolina 
Porzana parva 
Porzana porzana
Porzana pusilla 
Rallus aquaticus 
Aegithalos caudatus
Alauda arvensis 
Alca torda
Calandrella brachydactyla
Calandrella rufescens 
Eremophila alpestris 
Galerida cristata 
Lullula arborea 
Melanocorypha bimaculata 
Melanocorypha calandra 
Melanocorypha leucoptera 
Melanocorypha yeltoniensis 
Bombycilla cedrorum 
Bombycilla garrulus 
Passerina cyanea 
Pheucticus ludovicianus 
Erythrina erythrina  
Linaria cannabina
Serinus serinus 
Certhia brachydactyla 
Certhia familiaris 
Cinclus cinclus  
Cisticola juncidis 
Corvus corax 
Corvus cornix 
Corvus corone 
Corvus frugilegus
Corvus monedula 
Garrulus glandarius 
Nucifraga caryocatactes 
Pica pica 
Pyrrhocorax pyrrhocorax
Calcarius lapponicus  
Chondestes grammacus  
Emberiza aureola   
Emberiza caesia 
Emberiza calandra  
Emberiza chrysophrys 
Emberiza cia 
Emberiza cirlus 
Emberiza citrinella  
Emberiza fucata 
Emberiza hortulana 
Emberiza leucocephalos 
Emberiza melanocephala 
Emberiza pallasi   
Emberiza pusilla 
Emberiza rustica   
Emberiza schoeniclus
Emberiza spodocephala 
Junco hyemalis 
Melospiza melodia  
Passerculus sandwichensis
Pipilo erythrophthalmus 
Plectrophenax nivalis
Zonotrichia albicollis 
Zonotrichia leucophrys 
Bucanetes githagineus 
Carduelis cabaret 
Carduelis cannabina 
Carduelis carduelis 
Carduelis chloris
Carduelis flammea 
Carduelis flavirostris
Carduelis hornemanni 
Carduelis spinus 
Carpodacus erythrinus 
Coccothraustes coccothraustes 
Fringilla coelebs 
Fringilla montifringilla 
Hesperiphona vespertina
Loxia curvirostra 
Loxia leucoptera 
Loxia pytyopsittacus 
Loxia scotica 
Pinicola enucleator 
Pyrrhula pyrrhula 
Serinus serinus 
Cecropis daurica
Delichon urbicum 
Hirundo rustica 
Petrochelidon pyrrhonota 
Progne subis 
Ptyonoprogne rupestris 
Riparia riparia 
Tachycineta bicolor 
Dolichonyx oryzivorus 
Icterus galbula 
Molothrus ater
Lanius collurio 
Lanius cristatus 
Lanius excubitor
Lanius isabellinus
Lanius meridionalis 
Lanius minor 
Lanius nubicus 
Lanius schach
Lanius senator
Dumetella carolinensis 
Mimus polyglottos 
Toxostoma rufum 
Anthus campestris 
Anthus cervinus  
Anthus godlewskii 
Anthus gustavi 
Anthus hodgsoni 
Anthus petrosus
Anthus pratensis
Anthus richardi
Anthus rubescens 
Anthus spinoletta  
Anthus trivialis
Motacilla alba  
Motacilla cinerea 
Motacilla citreola 
Motacilla flava 
Ficedula albicilla 
Ficedula albicollis 
Ficedula hypoleuca 
Ficedula parva 
Muscicapa dauurica 
Muscicapa striata 
Oenanthe deserti 
Oenanthe hispanica 
Oenanthe isabellina
Oenanthe leucopyga 
Oenanthe oenanthe 
Oenanthe pleschanka 
Oriolus oriolus 
Cyanistes caeruleus 
Lophophanes cristatus 
Parus major 
Periparus ater 
Poecile montanus 
Poecile palustris 
Cardellina pusilla  
Dendroica castanea 
Dendroica coronata 
Dendroica fusca 
Dendroica magnolia
Dendroica pensylvanica 
Dendroica petechia 
Dendroica striata 
Dendroica tigrina 
Geothlypis trichas 
Mniotilta varia 
Parkesia noveboracensis 
Parula americana 
Seiurus aurocapilla
Seiurus noveboracensis 
Setophaga petechia  
Setophaga ruticilla 
Vermivora chrysoptera
Vermivora peregrina 
Wilsonia citrina 
Wilsonia pusilla
Passer domesticus
Passer hispaniolensis 
Passer montanus
Petronia petronia 
Prunella collaris 
Prunella modularis 
Regulus ignicapilla 
Regulus regulus
Remiz pendulinus
Cercotrichas galactotes 
Erithacus rubecula 
Irania gutturalis 
Luscinia calliope 
Luscinia cyane 
Luscinia luscinia 
Luscinia megarhynchos 
Luscinia sibilans 
Luscinia svecica 
Monticola saxatilis 
Monticola solitarius 
Phoenicurus moussieri 
Phoenicurus ochruros 
Phoenicurus phoenicurus 
Saxicola rubetra 
Saxicola torquatax
Tarsiger cyanurus 
Sitta canadensis 
Sitta europaea 
Sturnus roseus 
Sturnus vulgaris
Acrocephalus aedon 
Acrocephalus agricola 
Acrocephalus arundinaceus 
Acrocephalus dumetorum 
Acrocephalus melanopogon 
Acrocephalus paludicola 
Acrocephalus palustris   
Acrocephalus schoenobaenus 
Acrocephalus scirpaceus  
Cettia cetti   
Cisticola juncidis  
Hippolais caligata 
Hippolais icterina  
Hippolais olivetorum   
Hippolais pallida
Hippolais polyglotta
Hippolais rama 
Iduna aedon   
Iduna caligata
Iduna pallida 
Iduna rama 
Locustella certhiola
Locustella fluviatilis 
Locustella lanceolata  
Locustella luscinioides  
Locustella naevia  
Panurus biarmicus
Phylloscopus bonelli  
Phylloscopus borealis 
Phylloscopus collybita
Phylloscopus coronatus  
Phylloscopus fuscatus 
Phylloscopus humei 
Phylloscopus ibericus 
Phylloscopus inornatus
Phylloscopus orientalis 
Phylloscopus proregulus 
Phylloscopussibilatrix 
Phylloscopus schwarzi  
Phylloscopus trochiloides 
Phylloscopus trochilus 
Regulus ignicapilla  
Regulus regulus 
Sylvia atricapilla 
Sylvia borin 
Sylvia cantillans
Sylvia communis 
Sylvia conspicillata  
Sylvia curruca  
Sylvia hortensis  
Sylvia melanocephala  
Sylvia nana  
Sylvia nisoria   
Sylvia rueppelli  
Sylvia sarda 
Sylvia undata   
Piranga olivacea 
Piranga rubra 
Tichodroma muraria 
Troglodytes troglodytes 
Catharus fuscescens 
Catharus guttatus 
Catharus minimus 
Catharus ustulatus 
Hylocichla mustelina 
Turdus iliacus 
Turdus merula 
Turdus migratorius 
Turdus naumanni 
Turdus obscurus 
Turdus philomelos 
Turdus pilaris
Turdus ruficollis
Turdus torquatus 
Turdus viscivorus 
Zoothera dauma 
Zoothera naevia 
Zoothera sibirica
Sayornis phoebe 
Vireo flavifrons 
Vireo olivaceus 
Vireo philadelphicus 
Fregata aquila 
Fregata magnificens 
Pelecanus crispus
Pelecanus onocrotalus 
Phaethon aethereus 
Phalacrocorax aristotelis 
Phalacrocorax auritus   
Phalacrocorax carbo  
Phoenicopterus chilensis
Phoenicopterus ruber 
Morus bassanus
Dendrocopos major 
Dendrocopos minor
Jynx torquilla 
Picus viridis 
Sphyrapicus varius 
Podiceps auritus 
Podiceps cristatus 
Podiceps grisegena 
Podiceps nigricollis 
Podilymbus podiceps 
Tachybaptus ruficollis
Thalassarche melanophrys
Hydrobates pelagicus 
Oceanites oceanicus 
Oceanodroma castro 
Oceanodroma leucorhoa 
Oceanodroma monorhis 
Pelagodroma marina 
Bulweria bulwerii 
Calonectris diomedea 
Fulmarus glacialis 
Hydrobates pelagicus
Pterodroma feae 
Pterodroma hasitata 
Puffinus baroli 
Puffinus gravis 
Puffinus griseus 
Puffinus mauretanicus 
Puffinus puffinus
Caprimulgus aegyptius 
Caprimulgus europaeus 
Caprimulgus ruficollis 
Chordeiles minor
Aegolius funereus 
Asio flammeus 
Asio otus 
Athene noctua 
Bubo scandiaca
Otus scops
Strix aluco 
Surnia ulula
Tyto alba
Upupa epops 
