dna,rRNA,12S_r_RNA,12S r RNA
dna,rRNA,12S_small_subunit_ribosomal_RNA,12S small subunit ribosomal RNA
dna,rRNA,12_S_rRNA,12 S rRNA
dna,CDS,ATP_synthase_F0_subunit_6,ATP synthase F0 subunit 6
dna,CDS,ATP_synthase_F0_subunit_8,ATP synthase F0 subunit 8
dna,CDS,ATPase_6,ATPase 6
dna,CDS,ATPase_8,ATPase 8
dna,CDS,CO1,CO1
dna,CDS,CO2,CO2
dna,CDS,CO3,CO3
dna,CDS,COXI,COXI
dna,CDS,COXII,COXII
dna,CDS,COXIII,COXIII
dna,CDS,Cb,Cb
dna,CDS,CoIII,CoIII
dna,CDS,CoxI,CoxI
dna,CDS,CoxII,CoxII
dna,CDS,CoxIII,CoxIII
dna,CDS,Cyt_B,Cyt B
dna,CDS,Cyt_b,Cyt b
dna,CDS,LOC100380705,LOC100380705
dna,CDS,LOC106577883,LOC106577883
dna,CDS,LOC106577884,LOC106577884
dna,CDS,LOC106577886,LOC106577886
dna,CDS,LOC106577888,LOC106577888
dna,CDS,LOC106577890,LOC106577890
dna,CDS,MT-ATP6,ATP6,ATPase6,atpase6
dna,CDS,MT-ATP8,ATP8,ATPase8,atpase8
dna,CDS,MT-CO1,coi,COI,cox1,COX1,cytochrome c oxidase subunit I
dna,CDS,MT-CO2,COII,coii,COX2,cox2,cytochrome c oxidase subunit II
dna,CDS,MT-CO3,COIII,coiii,cox3,COX3,cytochrome c oxidase subunit III
dna,CDS,MT-CYB,CYTB,cytb,Cytb,cytochrome b
dna,CDS,MT-ND1,NADH dehydrogenase subunit 1,NADH1,ND1
dna,CDS,MT-ND2,NADH dehydrogenase subunit 2,NADH2,ND2
dna,CDS,MT-ND3,NADH dehydrogenase subunit 3,NADH3,ND3
dna,CDS,MT-ND4,NADH dehydrogenase subunit 4,NADH4,ND4
dna,CDS,MT-ND4L,NADH dehydrogenase subunit 4L,ND4L
dna,CDS,MT-ND5,NADH dehydrogenase subunit 5,NADH5,ND5
dna,CDS,MT-ND6,NADH dehydrogenase subunit 6,NADH6,ND6
dna,CDS,NAD-1,NAD-1
dna,CDS,NAD-2,NAD-2
dna,CDS,NAD-4,NAD-4
dna,CDS,NAD-4L,NAD-4L
dna,CDS,NAD-5,NAD-5
dna,CDS,NAD-6,NAD-6
dna,CDS,NAD3,NAD3
dna,CDS,NADH-1,NADH-1
dna,CDS,NADH-2,NADH-2
dna,CDS,NADH-3,NADH-3
dna,CDS,NADH-4,NADH-4
dna,CDS,NADH-4L,NADH-4L
dna,CDS,NADH-5,NADH-5
dna,CDS,NADH-6,NADH-6
dna,CDS,NADH-I,NADH-I
dna,CDS,NADH4L,NADH4L
dna,CDS,ND4l,ND4l
dna,CDS,cob,cob
dna,CDS,cq049,cq049
dna,CDS,cyt_b,cyt b
dna,CDS,cytochrome_oxidase_subunit_I,cytochrome oxidase subunit I
dna,CDS,cytochrome_oxidase_subunit_II,cytochrome oxidase subunit II
dna,CDS,cytochrome_oxidase_subunit_III,cytochrome oxidase subunit III
dna,CDS,eral1,eral1
dna,CDS,hypothetical_protein,hypothetical protein
dna,rRNA,l-rRNA,l-rRNA
dna,CDS,med11,med11
dna,CDS,nadh-1,nadh-1
dna,CDS,nadh-2,nadh-2
dna,CDS,nadh-3,nadh-3
dna,CDS,nadh-4,nadh-4
dna,CDS,nadh-4L,nadh-4L
dna,CDS,nadh-5,nadh-5
dna,CDS,nadh-6,nadh-6
dna,rRNA,rrnL,16S ribosomal RNA,16S rRNA
dna,rRNA,rrnS,12S ribosomal RNA,12S rRNA
dna,rRNA,rrnl,rrnl
dna,rRNA,rrns,rrns
dna,rRNA,s-rRNA,s-rRNA
dna,rRNA,tRNA-Phe,tRNA-Phe
