Abramis brama
Acipenser sturio
Alburnoides bipunctatus
Alburnus alburnus
Alosa alosa
Alosa fallax
Ambloplites rupestris
Ameiurus melas
Ameiurus nebulosus
Anguilla anguilla
Barbatula barbatula
Barbus barbus
Blicca bjoerkna
Carassius auratus
Carassius carassius
Cobitis taenia
Coregonus albula
Coregonus autumnalis
Coregonus lavaretus
Coregonus oxyrinchus
Cottus gobio
Ctenopharyngodon idella
Cyprinus carpio
Esox lucius
Gasterosteus aculeatus
Gobio gobio
Gymnocephalus cernua
Hypophthalmichthys molitrix
Hypophthalmichthys nobilis
Lampetra fluviatilis
Lepomis gibbosus
Leucaspius delineatus
Leuciscus idus
Leuciscus leuciscus
Lota lota
Micropterus salmoides
Misgurnus bipartitus
Misgurnus fossilis
Neogobius fluviatilis
Neogobius melanostomus
Oncorhynchus gorbuscha
Oncorhynchus mykiss
Osmerus eperlanus
Perca fluviatilis
Petromyzon marinus
Phoxinus phoxinus
Pimephales promelas
Platichthys flesus
Pomatoschistus minutus
Ponticola kessleri
Pseudorasbora parva
Pungitius pungitius
Rhodeus amarus
Rutilus rutilus
Salmo salar
Salmo trutta
Salvelinus alpinus
Sander lucioperca
Scardinius erythrophthalmus
Silurus glanis
Solea solea
Squalius cephalus
Thymallus thymallus
Tinca tinca
Umbra pygmaea
