Bos taurus
Capra hircus 
Ovis aries 
Capreolus capreolus
Cervus elaphus
Cervus nippon
Dama dama
Hydropotes inermis
Muntiacus reevesi
Rangifer tarandus
Sus scrofa 
Vulpes vulpes
Canis lupus familiaris
Felis catus
Felis silvestris
Lutra lutra
Martes martes
Meles meles
Mustela erminea
Mustela furo
Mustela nivalis
Mustela putorius
Mustela vison
Odobenus rosmarus 
Cystophora cristata 
Erignathus barbatus 
Halichoerus grypus 
Phoca groenlandica 
Phoca hispida 
Phoca vitulina
Phocoena phocoena 
Eubalaena glacialis 
Balaenoptera acutorostrata 
Balaenoptera borealis
Balaenoptera musculus
Balaenoptera physalus 
Megaptera novaeangliae 
Delphinus delphis 
Globicephala melas 
Grampus griseus 
Lagenorhynchus acutus 
Lagenorhynchus albirostris 
Orcinus orca 
Peponocephala electra 
Pseudorca crassidens 
Stenella coeruleoalba
Tursiops truncatus 
Delphinapterus leucas 
Monodon monoceros 
Kogia breviceps 
Physeter catodon 
Hyperoodon ampullatus 
Mesoplodon bidens 
Mesoplodon mirus 
Ziphius cavirostris 
Barbastella barbastellus 
Eptesicus fuscus
Eptesicus nilssonii
Eptesicus serotinus
Lasiurus cinereus 
Myotis alcathoe
Myotis bechsteinii 
Myotis brandtii 
Myotis dasycneme 
Myotis daubentonii
Myotis emarginatus 
Myotis lucifugus
Myotis myotis 
Myotis mystacinus
Myotis nattereri 
Nyctalus leisleri 
Nyctalus noctula 
Pipistrellus kuhlii 
Pipistrellus nathusii 
Pipistrellus pipistrellus 
Pipistrellus pygmaeus 
Pipistrellus savii 
Plecotus auritus
Plecotus austriacus 
Rhinolophus ferrumequinum 
Rhinolophus hipposideros
Vespertilio murinus 
Tadarida teniotis 
Macropus rufogriseus 
Erinaceus europaeus 
Crocidura russula 
Crocidura suaveolens
Neomys fodiens 
Sorex araneus
Sorex coronatus 
Sorex minutus 
Talpa europaea 
Lepus europaeus
Lepus timidus
Oryctolagus cuniculus
Equus caballus 
Castor fiber
Apodemus flavicollis
Apodemus sylvaticus
Arvicola terrestris
Clethrionomys glareolus 
Micromys minutus 
Microtus agrestis
Microtus arvalis
Mus musculus
Rattus norvegicus
Rattus rattus 
Glis glis
Muscardinus avellanarius 
Myocastor coypus 
Sciurus carolinensis 
Sciurus vulgaris
