Abramis brama
Blicca bjoerkna
Barbus barbus
Carassius carassius
Squalius cephalus
Leuciscus leuciscus
Rutilus rutilus
Scardinius erythrophthalmus
Tinca tinca
Gasterosteus aculeatus
Perca fluviatilis
Lampetra fluviatilis
Lampetra planeri
Anguilla anguilla
Carassius auratus
Ctenopharyngodon idella
Cyprinus carpio
Gobio gobio
Hypophthalmichthys molitrix
Hypophthalmichthys nobilis
Leucaspius delineatus
Leuciscus idus
Phoxinus phoxinus
Pseudorasbora parva
Esox lucius
Coregonus albula
Coregonus autumnalis
Coregonus lavaretus
Oncorhynchus mykiss
Salmo salar
Salmo trutta
Salvelinus alpinus
Pungitius pungitius
Cottus gobio
Gymnocephalus cernua
Petromyzon marinus
Acipenser sturio
Alosa alosa
Alosa fallax
Alburnus alburnus
Rhodeus sericeus
Cobitis taenia
Barbatula barbatula
Ameiurus melas
Silurus glanis
Osmerus eperlanus
Coregonus oxyrinchus
Oncorhynchus gorbuscha
Salvelinus fontinalis
Thymallus thymallus
Lota lota
Ambloplites rupestris
Lepomis gibbosus
Micropterus salmoides
Sander lucioperca
Platichthys flesus
Umbra pygmaea
Neogobius melanostomus
Ponticola kessleri
Ameiurus nebulosus
Misgurnus fossilis
Vimba vimba
Alburnoides bipunctatus
Pimephales promelas
Chondrostoma nasus
Aspius aspius
Proterorhinus semilunaris
