"tax_id","parent_id","rank","tax_name","root","below_root","superkingdom","below_superkingdom","kingdom","below_kingdom","below_below_kingdom","below_below_below_kingdom","phylum","subphylum","below_subphylum","below_below_subphylum","below_below_below_subphylum","below_below_below_below_subphylum","superclass","class","subclass","infraclass","below_infraclass","below_below_infraclass","below_below_below_infraclass","below_below_below_below_infraclass","below_below_below_below_below_infraclass","below_below_below_below_below_below_infraclass","below_below_below_below_below_below_below_infraclass","below_below_below_below_below_below_below_below_infraclass","below_below_below_below_below_below_below_below_below_infraclass","below_below_below_below_below_below_below_below_below_below_infraclass","superorder","order","suborder","infraorder","superfamily","family","subfamily","tribe","genus","species"
"1","1","root","root","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131567","1","below_root","cellular organisms","1","131567","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2759","131567","superkingdom","Eukaryota","1","131567","2759","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"33154","2759","below_superkingdom","Opisthokonta","1","131567","2759","33154","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"33208","33154","kingdom","Metazoa","1","131567","2759","33154","33208","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6072","33208","below_kingdom","Eumetazoa","1","131567","2759","33154","33208","6072","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"33213","6072","below_below_kingdom","Bilateria","1","131567","2759","33154","33208","6072","33213","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"33511","33213","below_below_below_kingdom","Deuterostomia","1","131567","2759","33154","33208","6072","33213","33511","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7711","33511","phylum","Chordata","1","131567","2759","33154","33208","6072","33213","33511","7711","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"89593","7711","subphylum","Craniata","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7742","89593","below_subphylum","Vertebrata","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1476529","7742","below_below_subphylum","Cyclostomata","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","1476529","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7776","7742","below_below_subphylum","Gnathostomata","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","","","","","","","","","","","","","","","","","","","","","","","","","",""
"117569","1476529","below_below_below_subphylum","Hyperoartia","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","1476529","117569","","","","","","","","","","","","","","","","","","","","","","","","",""
"117570","7776","below_below_below_subphylum","Teleostomi","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","","","","","","","","","","","","","","","","","","","","","","","","",""
"117571","117570","below_below_below_below_subphylum","Euteleostomi","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","","","","","","","","","","","","","","","","","","","","","","","",""
"7898","117571","superclass","Actinopterygii","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","","","","","","","","","","","","","","","","","","","","","","",""
"186623","7898","class","Actinopteri","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","","","","","","","","","","","","","","","","","","","","","",""
"32440","186623","subclass","Chondrostei","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","32440","","","","","","","","","","","","","","","","","","","","",""
"41665","186623","subclass","Neopterygii","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","","","","","","","","","","","","","","","","","","","","",""
"32443","41665","infraclass","Teleostei","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","","","","","","","","","","","","","","","","","","","",""
"1489340","32443","below_infraclass","Elopocephalai","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489340","","","","","","","","","","","","","","","","","","",""
"1489341","32443","below_infraclass","Osteoglossocephalai","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","","","","","","","","","","","","","","","","","","",""
"186625","1489341","below_below_infraclass","Clupeocephala","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","","","","","","","","","","","","","","","","","",""
"186624","1489340","below_below_infraclass","Elopocephala","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489340","186624","","","","","","","","","","","","","","","","","",""
"32521","186624","below_below_below_infraclass","Elopomorpha","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489340","186624","32521","","","","","","","","","","","","","","","","",""
"1489388","186625","below_below_below_infraclass","Euteleosteomorpha","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","1489388","","","","","","","","","","","","","","","","",""
"186634","186625","below_below_below_infraclass","Otomorpha","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","186634","","","","","","","","","","","","","","","","",""
"282425","186634","below_below_below_below_infraclass","Clupei","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","186634","282425","","","","","","","","","","","","","","","",""
"123365","1489388","below_below_below_below_infraclass","Neoteleostei","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","1489388","123365","","","","","","","","","","","","","","","",""
"32519","186634","below_below_below_below_infraclass","Ostariophysi","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","186634","32519","","","","","","","","","","","","","","","",""
"41705","1489388","below_below_below_below_infraclass","Protacanthopterygii","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","1489388","41705","","","","","","","","","","","","","","","",""
"1489798","1489388","below_below_below_below_infraclass","Stomiatii","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","1489388","1489798","","","","","","","","","","","","","","","",""
"123366","123365","below_below_below_below_below_infraclass","Eurypterygia","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","1489388","123365","123366","","","","","","","","","","","","","","",""
"186626","32519","below_below_below_below_below_infraclass","Otophysi","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","186634","32519","186626","","","","","","","","","","","","","","",""
"123367","123366","below_below_below_below_below_below_infraclass","Ctenosquamata","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","1489388","123365","123366","123367","","","","","","","","","","","","","",""
"123368","123367","below_below_below_below_below_below_below_infraclass","Acanthomorphata","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","1489388","123365","123366","123367","123368","","","","","","","","","","","","",""
"123369","123368","below_below_below_below_below_below_below_below_infraclass","Euacanthomorphacea","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","1489388","123365","123366","123367","123368","123369","","","","","","","","","","","",""
"1489838","123368","below_below_below_below_below_below_below_below_infraclass","Paracanthomorphacea","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","1489388","123365","123366","123367","123368","1489838","","","","","","","","","","","",""
"1489872","123369","below_below_below_below_below_below_below_below_below_infraclass","Percomorphaceae","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","1489388","123365","123366","123367","123368","123369","1489872","","","","","","","","","","",""
"1489841","1489838","below_below_below_below_below_below_below_below_below_infraclass","Zeiogadaria","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","1489388","123365","123366","123367","123368","1489838","1489841","","","","","","","","","","",""
